repo_name,username,repo_url,stars
three.js,mrdoob,http://github.com/mrdoob/three.js,80000
libgdx,libgdx,http://github.com/libgdx/libgdx,19800
react-three-fiber,pmndrs,http://github.com/pmndrs/react-three-fiber,17100
Babylon.js,BabylonJS,http://github.com/BabylonJS/Babylon.js,16100
aframe,aframevr,http://github.com/aframevr/aframe,13900
3d-game-shaders-for-beginners,lettier,http://github.com/lettier/3d-game-shaders-for-beginners,12400
tinyrenderer,ssloy,http://github.com/ssloy/tinyrenderer,12200
FreeCAD,FreeCAD,http://github.com/FreeCAD/FreeCAD,10900
zdog,metafizzy,http://github.com/metafizzy/zdog,9000
cesium,CesiumGS,http://github.com/CesiumGS/cesium,8400
3D-Machine-Learning,timzhang642,http://github.com/timzhang642/3D-Machine-Learning,7700
SpaceshipGenerator,a1studmuffin,http://github.com/a1studmuffin/SpaceshipGenerator,7100
Open3D,isl-org,http://github.com/isl-org/Open3D,6300
blender,blender,http://github.com/blender/blender,4900
BlenderGIS,domlysz,http://github.com/domlysz/BlenderGIS,4900
spritejs,spritejs,http://github.com/spritejs/spritejs,4800
openscad,openscad,http://github.com/openscad/openscad,4700
tensorspace,tensorspace-team,http://github.com/tensorspace-team/tensorspace,4600
webglstudio.js,jagenjo,http://github.com/jagenjo/webglstudio.js,4600
PRNet,YadiraF,http://github.com/YadiraF/PRNet,4600
vrn,AaronJackson,http://github.com/AaronJackson/vrn,4400
tinyraytracer,ssloy,http://github.com/ssloy/tinyraytracer,4100
model-viewer,google,http://github.com/google/model-viewer,4100
magnum,mosra,http://github.com/mosra/magnum,3800
webgl-fundamentals,gfxfundamentals,http://github.com/gfxfundamentals/webgl-fundamentals,3500
Fyrox,FyroxEngine,http://github.com/FyroxEngine/Fyrox,3500
vanta,tengbao,http://github.com/tengbao/vanta,3300
3DDFA,cleardusk,http://github.com/cleardusk/3DDFA,3200
isometric-contributions,jasonlong,http://github.com/jasonlong/isometric-contributions,3100
meshlab,cnr-isti-vclab,http://github.com/cnr-isti-vclab/meshlab,2800
