repo_name,username,repo_url,stars
aspnetboilerplate,aspnetboilerplate,http://github.com/aspnetboilerplate/aspnetboilerplate,10200
AspNetCore.Docs,dotnet,http://github.com/dotnet/AspNetCore.Docs,10200
server,bitwarden,http://github.com/bitwarden/server,9400
nopCommerce,nopSolutions,http://github.com/nopSolutions/nopCommerce,7100
Electron.NET,ElectronNET,http://github.com/ElectronNET/Electron.NET,6200
NSwag,RicoSuter,http://github.com/RicoSuter/NSwag,5000
clean-code-dotnet,thangchung,http://github.com/thangchung/clean-code-dotnet,4700
ImageProcessor,JimBobSquarePants,http://github.com/JimBobSquarePants/ImageProcessor,2500
SmartStoreNET,smartstore,http://github.com/smartstore/SmartStoreNET,2400
aspnet-api-versioning,dotnet,http://github.com/dotnet/aspnet-api-versioning,2200
BaGet,loic-sharma,http://github.com/loic-sharma/BaGet,1900
Awesome-Microservices-DotNet,mjebrahimi,http://github.com/mjebrahimi/Awesome-Microservices-DotNet,1600
aspnetcore-angular-universal,TrilonIO,http://github.com/TrilonIO/aspnetcore-angular-universal,1500
aspnetcore-Vue-starter,TrilonIO,http://github.com/TrilonIO/aspnetcore-Vue-starter,1200
DncZeus,lampo1024,http://github.com/lampo1024/DncZeus,1200
csla,MarimerLLC,http://github.com/MarimerLLC/csla,992
dotvvm,riganti,http://github.com/riganti/dotvvm,600
aspnet-core-3-jwt-authentication-api,cornflourblue,http://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,592
JsonApiDotNetCore,json-api-dotnet,http://github.com/json-api-dotnet/JsonApiDotNetCore,545
SharPyShell,antonioCoco,http://github.com/antonioCoco/SharPyShell,529
mvcarchitecture,chsakell,http://github.com/chsakell/mvcarchitecture,453
Gofer.NET,brthor,http://github.com/brthor/Gofer.NET,436
YAFNET,YAFNET,http://github.com/YAFNET/YAFNET,425
BlazorTable,IvanJosipovic,http://github.com/IvanJosipovic/BlazorTable,380
rrod,Maarten88,http://github.com/Maarten88/rrod,378
SapphireDb,SapphireDb,http://github.com/SapphireDb/SapphireDb,369
WebMarkupMin,Taritsyn,http://github.com/Taritsyn/WebMarkupMin,352
aspnet-core-identity,chsakell,http://github.com/chsakell/aspnet-core-identity,337
aspnetcore-vueclimiddleware,EEParker,http://github.com/EEParker/aspnetcore-vueclimiddleware,321
Smartstore,smartstore,http://github.com/smartstore/Smartstore,286
