repo_name,username,repo_url,stars
coding-interview-university,jwasham,http://github.com/jwasham/coding-interview-university,213000
CS-Notes,CyC2018,http://github.com/CyC2018/CS-Notes,148000
javascript-algorithms,trekhleb,http://github.com/trekhleb/javascript-algorithms,137000
Python,TheAlgorithms,http://github.com/TheAlgorithms/Python,132000
tech-interview-handbook,yangshun,http://github.com/yangshun/tech-interview-handbook,67100
interviews,kdn251,http://github.com/kdn251/interviews,56500
leetcode,azl397985856,http://github.com/azl397985856/leetcode,47000
Java,TheAlgorithms,http://github.com/TheAlgorithms/Java,44900
algorithm-visualizer,algorithm-visualizer,http://github.com/algorithm-visualizer/algorithm-visualizer,36500
JCSprout,crossoverJie,http://github.com/crossoverJie/JCSprout,26600
interactive-coding-challenges,donnemartin,http://github.com/donnemartin/interactive-coding-challenges,24900
leetcode-master,youngyangyang04,http://github.com/youngyangyang04/leetcode-master,24200
LeetCode-Go,halfrost,http://github.com/halfrost/LeetCode-Go,23700
interview,huihut,http://github.com/huihut/interview,23000
algorithms,keon,http://github.com/keon/algorithms,20500
homemade-machine-learning,trekhleb,http://github.com/trekhleb/homemade-machine-learning,19000
Javascript,TheAlgorithms,http://github.com/TheAlgorithms/Javascript,18500
C-Plus-Plus,TheAlgorithms,http://github.com/TheAlgorithms/C-Plus-Plus,18500
WaveFunctionCollapse,mxgmn,http://github.com/mxgmn/WaveFunctionCollapse,17400
PythonRobotics,AtsushiSakai,http://github.com/AtsushiSakai/PythonRobotics,14600
algorithm-pattern,greyireland,http://github.com/greyireland/algorithm-pattern,13300
cosmos,OpenGenus,http://github.com/OpenGenus/cosmos,13000
Algorithms,williamfiset,http://github.com/williamfiset/Algorithms,12200
Halfrost-Field,halfrost,http://github.com/halfrost/Halfrost-Field,10700
apachecn-algo-zh,apachecn,http://github.com/apachecn/apachecn-algo-zh,10500
awesome-competitive-programming,lnishan,http://github.com/lnishan/awesome-competitive-programming,9500
awesome-java-leetcode,Blankj,http://github.com/Blankj/awesome-java-leetcode,8400
algorithms,jeffgerickson,http://github.com/jeffgerickson/algorithms,7500
javascript-algorithms,mgechev,http://github.com/mgechev/javascript-algorithms,7100
vscode-leetcode,LeetCode-OpenSource,http://github.com/LeetCode-OpenSource/vscode-leetcode,7100
