repo_name,username,repo_url,stars
serverless,serverless,http://github.com/serverless/serverless,42300
localstack,localstack,http://github.com/localstack/localstack,39000
data-science-ipython-notebooks,donnemartin,http://github.com/donnemartin/data-science-ipython-notebooks,22600
devops-exercises,bregman-arie,http://github.com/bregman-arie/devops-exercises,21600
awesome-kubernetes,ramitsurana,http://github.com/ramitsurana/awesome-kubernetes,12600
aws-cli,aws,http://github.com/aws/aws-cli,12100
kubespray,kubernetes-sigs,http://github.com/kubernetes-sigs/kubespray,12000
pulumi,pulumi,http://github.com/pulumi/pulumi,11700
awesome-aws,donnemartin,http://github.com/donnemartin/awesome-aws,10200
cas,apereo,http://github.com/apereo/cas,9300
sops,mozilla,http://github.com/mozilla/sops,9300
chalice,aws,http://github.com/aws/chalice,8700
amplify-js,aws-amplify,http://github.com/aws-amplify/amplify-js,8600
up,apex,http://github.com/apex/up,8500
serverless-application-model,aws,http://github.com/aws/serverless-application-model,8400
aws-cdk,aws,http://github.com/aws/aws-cdk,8400
go-cloud,google,http://github.com/google/go-cloud,8300
caprover,caprover,http://github.com/caprover/caprover,8300
openvpn-install,angristan,http://github.com/angristan/openvpn-install,7600
aws-sdk-go,aws,http://github.com/aws/aws-sdk-go,7500
boto3,boto,http://github.com/boto/boto3,7100
terraform-provider-aws,hashicorp,http://github.com/hashicorp/terraform-provider-aws,7000
aws-sdk-js,aws,http://github.com/aws/aws-sdk-js,7000
terraformer,GoogleCloudPlatform,http://github.com/GoogleCloudPlatform/terraformer,7000
amazon-sagemaker-examples,aws,http://github.com/aws/amazon-sagemaker-examples,6700
aws-shell,awslabs,http://github.com/awslabs/aws-shell,6500
terratest,gruntwork-io,http://github.com/gruntwork-io/terratest,6000
aws-vault,99designs,http://github.com/99designs/aws-vault,6000
aws-sam-cli,aws,http://github.com/aws/aws-sam-cli,5900
terragrunt,gruntwork-io,http://github.com/gruntwork-io/terragrunt,5700
