repo_name,username,repo_url,stars
flutter,flutter,http://github.com/flutter/flutter,137000
free-programming-books-zh_CN,justjavac,http://github.com/justjavac/free-programming-books-zh_CN,88000
scrcpy,Genymobile,http://github.com/Genymobile/scrcpy,62400
Awesome-Hacking,Hack-with-Github,http://github.com/Hack-with-Github/Awesome-Hacking,49800
material-design-icons,google,http://github.com/google/material-design-icons,45300
awesome-android-ui,wasabeef,http://github.com/wasabeef/awesome-android-ui,42200
okhttp,square,http://github.com/square/okhttp,41800
architecture-samples,android,http://github.com/android/architecture-samples,40300
awesome-flutter,Solido,http://github.com/Solido/awesome-flutter,39700
retrofit,square,http://github.com/square/retrofit,39700
MPAndroidChart,PhilJay,http://github.com/PhilJay/MPAndroidChart,34800
fastlane,fastlane,http://github.com/fastlane/fastlane,34200
lottie-android,airbnb,http://github.com/airbnb/lottie-android,32500
shadowsocks-android,shadowsocks,http://github.com/shadowsocks/shadowsocks-android,32400
glide,bumptech,http://github.com/bumptech/glide,32299
android-open-project,Trinea,http://github.com/Trinea/android-open-project,30900
AndroidUtilCode,Blankj,http://github.com/Blankj/AndroidUtilCode,30500
gold-miner,xitu,http://github.com/xitu/gold-miner,30300
ijkplayer,bilibili,http://github.com/bilibili/ijkplayer,30100
jadx,skylot,http://github.com/skylot/jadx,29400
zxing,zxing,http://github.com/zxing/zxing,29300
joplin,laurent22,http://github.com/laurent22/joplin,28600
android_guides,codepath,http://github.com/codepath/android_guides,27700
leakcanary,square,http://github.com/square/leakcanary,27300
fastjson,alibaba,http://github.com/alibaba/fastjson,24200
SmartRefreshLayout,scwang90,http://github.com/scwang90/SmartRefreshLayout,23300
BaseRecyclerViewAdapterHelper,CymChad,http://github.com/CymChad/BaseRecyclerViewAdapterHelper,22700
react-native-elements,react-native-elements,http://github.com/react-native-elements/react-native-elements,22100
iosched,google,http://github.com/google/iosched,21200
NativeScript,NativeScript,http://github.com/NativeScript/NativeScript,21000
