repo_name,username,repo_url,stars
free-programming-books-zh_CN,justjavac,http://github.com/justjavac/free-programming-books-zh_CN,88000
angular,angular,http://github.com/angular/angular,80100
storybook,storybookjs,http://github.com/storybookjs/storybook,69300
33-js-concepts,leonardomso,http://github.com/leonardomso/33-js-concepts,47600
ionic-framework,ionic-team,http://github.com/ionic-team/ionic-framework,46500
prettier,prettier,http://github.com/prettier/prettier,42100
sheetjs,SheetJS,http://github.com/SheetJS/sheetjs,29300
angular-cli,angular,http://github.com/angular/angular-cli,25300
components,angular,http://github.com/angular/components,22500
NativeScript,NativeScript,http://github.com/NativeScript/NativeScript,21000
generator-jhipster,jhipster,http://github.com/jhipster/generator-jhipster,19400
rxdb,pubkey,http://github.com/pubkey/rxdb,17100
handsontable,handsontable,http://github.com/handsontable/handsontable,16400
bit,teambit,http://github.com/teambit/bit,14900
javascript-testing-best-practices,goldbergyoni,http://github.com/goldbergyoni/javascript-testing-best-practices,14700
sweetalert2,sweetalert2,http://github.com/sweetalert2/sweetalert2,14300
mean,linnovate,http://github.com/linnovate/mean,12100
codesandbox-client,codesandbox,http://github.com/codesandbox/codesandbox-client,11300
nx,nrwl,http://github.com/nrwl/nx,11300
PeerTube,Chocobozzz,http://github.com/Chocobozzz/PeerTube,10400
angular-starter,PatrickJS,http://github.com/PatrickJS/angular-starter,10400
protractor,angular,http://github.com/angular/protractor,8800
javascript-interview-questions,sudheerj,http://github.com/sudheerj/javascript-interview-questions,8700
OnsenUI,OnsenUI,http://github.com/OnsenUI/OnsenUI,8600
graphql-code-generator,dotansimha,http://github.com/dotansimha/graphql-code-generator,8400
awesome-angular,PatrickJS,http://github.com/PatrickJS/awesome-angular,8200
text-mask,text-mask,http://github.com/text-mask/text-mask,8100
ag-grid,ag-grid,http://github.com/ag-grid/ag-grid,8100
ng-zorro-antd,NG-ZORRO,http://github.com/NG-ZORRO/ng-zorro-antd,8000
CleanArchitecture,jasontaylordev,http://github.com/jasontaylordev/CleanArchitecture,8000
