repo_name,username,repo_url,stars
Tasmota,arendst,http://github.com/arendst/Tasmota,17200
Marlin,MarlinFirmware,http://github.com/MarlinFirmware/Marlin,12800
Arduino,arduino,http://github.com/arduino/Arduino,12600
johnny-five,rwaldron,http://github.com/rwaldron/johnny-five,12600
esp8266_deauther,SpacehuhnTech,http://github.com/SpacehuhnTech/esp8266_deauther,9700
tinygo,tinygo-org,http://github.com/tinygo-org/tinygo,9500
arduino-esp32,espressif,http://github.com/espressif/arduino-esp32,8200
gobot,hybridgroup,http://github.com/hybridgroup/gobot,7600
lowlevelprogramming-university,gurugio,http://github.com/gurugio/lowlevelprogramming-university,7400
platformio-core,platformio,http://github.com/platformio/platformio-core,5700
ArduinoJson,bblanchon,http://github.com/bblanchon/ArduinoJson,5600
WiFiManager,tzapu,http://github.com/tzapu/WiFiManager,5100
cylon,hybridgroup,http://github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,http://github.com/Arduino-IRremote/Arduino-IRremote,3600
blynk-library,blynkkk,http://github.com/blynkkk/blynk-library,3400
arduino-cli,arduino,http://github.com/arduino/arduino-cli,3300
nectarjs,NectarJS,http://github.com/NectarJS/nectarjs,3200
u8g2,olikraus,http://github.com/olikraus/u8g2,2900
PJON,gioblu,http://github.com/gioblu/PJON,2600
OpenMQTTGateway,1technophile,http://github.com/1technophile/OpenMQTTGateway,2500
Serial-Studio,Serial-Studio,http://github.com/Serial-Studio/Serial-Studio,2300
audio-reactive-led-strip,scottlawsonbc,http://github.com/scottlawsonbc/audio-reactive-led-strip,2300
OpenBot,isl-org,http://github.com/isl-org/OpenBot,2100
splitflap,scottbez1,http://github.com/scottbez1/splitflap,2000
IRremoteESP8266,crankyoldgit,http://github.com/crankyoldgit/IRremoteESP8266,2000
RF24,nRF24,http://github.com/nRF24/RF24,1900
Arduino_Core_STM32,stm32duino,http://github.com/stm32duino/Arduino_Core_STM32,1800
TFT_eSPI,Bodmer,http://github.com/Bodmer/TFT_eSPI,1700
blinker-library,blinker-iot,http://github.com/blinker-iot/blinker-library,1700
esp8266-oled-ssd1306,ThingPulse,http://github.com/ThingPulse/esp8266-oled-ssd1306,1600
