repo_name,username,repo_url,stars
atom,atom,http://github.com/atom/atom,57000
themer,themerdev,http://github.com/themerdev/themer,4600
hydrogen,nteract,http://github.com/nteract/hydrogen,3800
markdown-preview-enhanced,shd101wyy,http://github.com/shd101wyy/markdown-preview-enhanced,3600
v2,miniflux,http://github.com/miniflux/v2,3400
teletype,atom,http://github.com/atom/teletype,2400
awesome-atom,mehcode,http://github.com/mehcode/awesome-atom,1900
gofeed,mmcdole,http://github.com/mmcdole/gofeed,1800
go-plus,joefitzgerald,http://github.com/joefitzgerald/go-plus,1500
atom-beautify,Glavin001,http://github.com/Glavin001/atom-beautify,1500
simplepie,simplepie,http://github.com/simplepie/simplepie,1400
atom-vim-mode-plus,t9md,http://github.com/t9md/atom-vim-mode-plus,1400
feedparser,kurtmckee,http://github.com/kurtmckee/feedparser,1400
merlin,ocaml,http://github.com/ocaml/merlin,1400
MagicPython,MagicStack,http://github.com/MagicStack/MagicPython,1300
apm,atom,http://github.com/atom/apm,1200
atom,file-icons,http://github.com/file-icons/atom,1200
atomic-layout,kettanaito,http://github.com/kettanaito/atomic-layout,1100
github,atom,http://github.com/atom/github,1000
FeedKit,nmdias,http://github.com/nmdias/FeedKit,965
atom-one-dark-terminal,nathanbuchar,http://github.com/nathanbuchar/atom-one-dark-terminal,950
atomic-chrome,danhper,http://github.com/danhper/atomic-chrome,927
seti-ui,jesseweed,http://github.com/jesseweed/seti-ui,891
kotlin-language-server,fwcd,http://github.com/fwcd/kotlin-language-server,883
prettier-atom,prettier,http://github.com/prettier/prettier-atom,773
lucario,raphamorim,http://github.com/raphamorim/lucario,739
atom-script,atom-community,http://github.com/atom-community/atom-script,735
feed,jpmonette,http://github.com/jpmonette/feed,731
cypht,jasonmunro,http://github.com/jasonmunro/cypht,704
jekyll-feed,jekyll,http://github.com/jekyll/jekyll-feed,696
