repo_name,username,repo_url,stars
awesome,sindresorhus,http://github.com/sindresorhus/awesome,193000
awesome-python,vinta,http://github.com/vinta/awesome-python,119000
awesome-selfhosted,awesome-selfhosted,http://github.com/awesome-selfhosted/awesome-selfhosted,79800
awesome-go,avelino,http://github.com/avelino/awesome-go,76800
the-book-of-secret-knowledge,trimstray,http://github.com/trimstray/the-book-of-secret-knowledge,62400
papers-we-love,papers-we-love,http://github.com/papers-we-love/papers-we-love,53400
HelloGitHub,521xueweihan,http://github.com/521xueweihan/HelloGitHub,53000
Awesome-Hacking,Hack-with-Github,http://github.com/Hack-with-Github/Awesome-Hacking,49800
awesome-mac,jaywcjlove,http://github.com/jaywcjlove/awesome-mac,48100
awesome-interview-questions,DopplerHQ,http://github.com/DopplerHQ/awesome-interview-questions,45400
awesome-nodejs,sindresorhus,http://github.com/sindresorhus/awesome-nodejs,44000
awesome-android-ui,wasabeef,http://github.com/wasabeef/awesome-android-ui,42200
awesome-flutter,Solido,http://github.com/Solido/awesome-flutter,39700
awesome-courses,prakhar1989,http://github.com/prakhar1989/awesome-courses,39500
awesome-ios,vsouza,http://github.com/vsouza/awesome-ios,39100
awesome-for-beginners,MunGell,http://github.com/MunGell/awesome-for-beginners,39100
awesome-scalability,binhnguyennus,http://github.com/binhnguyennus/awesome-scalability,37600
awesome-cpp,fffaraz,http://github.com/fffaraz/awesome-cpp,36200
github-cheat-sheet,tiimgreen,http://github.com/tiimgreen/github-cheat-sheet,34000
frontend-dev-bookmarks,dypsilon,http://github.com/dypsilon/frontend-dev-bookmarks,33300
awesome-java,akullpp,http://github.com/akullpp/awesome-java,31500
open-source-mac-os-apps,serhii-londar,http://github.com/serhii-londar/open-source-mac-os-apps,29700
open-source-ios-apps,dkhamsing,http://github.com/dkhamsing/open-source-ios-apps,29600
awesome-react-components,brillout,http://github.com/brillout/awesome-react-components,29200
awesome-php,ziadoz,http://github.com/ziadoz/awesome-php,26300
awesome-macos-command-line,herrbischoff,http://github.com/herrbischoff/awesome-macos-command-line,25600
awesome-rust,rust-unofficial,http://github.com/rust-unofficial/awesome-rust,24700
Awesome-Design-Tools,goabstract,http://github.com/goabstract/Awesome-Design-Tools,24000
awesome-shell,alebcay,http://github.com/alebcay/awesome-shell,23100
awesome-electron,sindresorhus,http://github.com/sindresorhus/awesome-electron,22500
