repo_name,username,repo_url,stars
devops-exercises,bregman-arie,http://github.com/bregman-arie/devops-exercises,21600
awesome-kubernetes,ramitsurana,http://github.com/ramitsurana/awesome-kubernetes,12600
recommenders,microsoft,http://github.com/microsoft/recommenders,12500
pulumi,pulumi,http://github.com/pulumi/pulumi,11700
azure-quickstart-templates,Azure,http://github.com/Azure/azure-quickstart-templates,11500
sops,mozilla,http://github.com/mozilla/sops,9300
computervision-recipes,microsoft,http://github.com/microsoft/computervision-recipes,8300
go-cloud,google,http://github.com/google/go-cloud,8300
caprover,caprover,http://github.com/caprover/caprover,8300
azuredatastudio,microsoft,http://github.com/microsoft/azuredatastudio,6700
formidable,node-formidable,http://github.com/node-formidable/formidable,6100
infracost,infracost,http://github.com/infracost/infracost,5500
midway,midwayjs,http://github.com/midwayjs/midway,5400
clean-code-dotnet,thangchung,http://github.com/thangchung/clean-code-dotnet,4700
docker-android,budtmo,http://github.com/budtmo/docker-android,4300
tfsec,aquasecurity,http://github.com/aquasecurity/tfsec,4100
cloud-custodian,cloud-custodian,http://github.com/cloud-custodian/cloud-custodian,4000
ScoutSuite,nccgroup,http://github.com/nccgroup/ScoutSuite,4000
checkov,bridgecrewio,http://github.com/bridgecrewio/checkov,3900
autorest,Azure,http://github.com/Azure/autorest,3700
grant,simov,http://github.com/simov/grant,3600
azure-sdk-for-net,Azure,http://github.com/Azure/azure-sdk-for-net,3400
SynapseML,microsoft,http://github.com/microsoft/SynapseML,3200
terraform-provider-azurerm,hashicorp,http://github.com/hashicorp/terraform-provider-azurerm,3200
azure-powershell,Azure,http://github.com/Azure/azure-powershell,3000
azure-cli,Azure,http://github.com/Azure/azure-cli,3000
MachineLearningNotebooks,Azure,http://github.com/Azure/MachineLearningNotebooks,2900
komiser,mlabouardy,http://github.com/mlabouardy/komiser,2700
openapi-directory,APIs-guru,http://github.com/APIs-guru/openapi-directory,2700
azure-sdk-for-python,Azure,http://github.com/Azure/azure-sdk-for-python,2600
