repo_name,username,repo_url,stars
babel,babel,http://github.com/babel/babel,40500
nylas-mail,nylas,http://github.com/nylas/nylas-mail,24700
react-starter-kit,kriasoft,http://github.com/kriasoft/react-starter-kit,21100
swc,swc-project,http://github.com/swc-project/swc,21000
ava,avajs,http://github.com/avajs/ava,19600
electron-react-boilerplate,electron-react-boilerplate,http://github.com/electron-react-boilerplate/electron-react-boilerplate,19100
electron-vue,SimulatedGREG,http://github.com/SimulatedGREG/electron-vue,14800
front-end-guide,grab,http://github.com/grab/front-end-guide,14300
babel-handbook,jamiebuilds,http://github.com/jamiebuilds/babel-handbook,10800
grommet,grommet,http://github.com/grommet/grommet,7800
htm,developit,http://github.com/developit/htm,7500
generator-angular-fullstack,angular-fullstack,http://github.com/angular-fullstack/generator-angular-fullstack,6100
documentation,documentationjs,http://github.com/documentationjs/documentation,5500
twin.macro,ben-rogerson,http://github.com/ben-rogerson/twin.macro,5500
nwb,insin,http://github.com/insin/nwb,5400
poi,egoist,http://github.com/egoist/poi,5300
thinkjs,thinkjs,http://github.com/thinkjs/thinkjs,5300
create-react-library,transitive-bullshit,http://github.com/transitive-bullshit/create-react-library,4600
babel-loader,babel,http://github.com/babel/babel-loader,4600
astexplorer,fkling,http://github.com/fkling/astexplorer,4500
react,duxianwei520,http://github.com/duxianwei520/react,4500
backpack,jaredpalmer,http://github.com/jaredpalmer/backpack,4500
minify,babel,http://github.com/babel/minify,4300
babel-plugin-module-resolver,tleunen,http://github.com/tleunen/babel-plugin-module-resolver,3200
gogocode,thx,http://github.com/thx/gogocode,3000
webpack-blocks,andywer,http://github.com/andywer/webpack-blocks,3000
babel-eslint,babel,http://github.com/babel/babel-eslint,3000
express-mongoose-es6-rest-api,kunalkapadia,http://github.com/kunalkapadia/express-mongoose-es6-rest-api,2800
esbuild-loader,privatenumber,http://github.com/privatenumber/esbuild-loader,2800
react-course,uidotdev,http://github.com/uidotdev/react-course,2500
