repo_name,username,repo_url,stars
the-art-of-command-line,jlevy,http://github.com/jlevy/the-art-of-command-line,104000
nvm,nvm-sh,http://github.com/nvm-sh/nvm,56000
fzf,junegunn,http://github.com/junegunn/fzf,42600
pure-bash-bible,dylanaraps,http://github.com/dylanaraps/pure-bash-bible,30600
zx,google,http://github.com/google/zx,29600
shellcheck,koalaman,http://github.com/koalaman/shellcheck,28100
dotfiles,mathiasbynens,http://github.com/mathiasbynens/dotfiles,27600
awesome-cheatsheets,LeCoupa,http://github.com/LeCoupa/awesome-cheatsheets,27400
acme.sh,acmesh-official,http://github.com/acmesh-official/acme.sh,25700
starship,starship,http://github.com/starship/starship,23300
awesome-shell,alebcay,http://github.com/alebcay/awesome-shell,23100
linux-command,jaywcjlove,http://github.com/jaywcjlove/linux-command,18100
openvpn-install,Nyr,http://github.com/Nyr/openvpn-install,14700
neofetch,dylanaraps,http://github.com/dylanaraps/neofetch,14500
rbenv,rbenv,http://github.com/rbenv/rbenv,14000
powerline,powerline,http://github.com/powerline/powerline,13200
shelljs,shelljs,http://github.com/shelljs/shelljs,13100
bash-it,Bash-it,http://github.com/Bash-it/bash-it,12800
autocomplete,withfig,http://github.com/withfig/autocomplete,12600
terminalizer,faressoft,http://github.com/faressoft/terminalizer,12400
dockerfiles,jessfraz,http://github.com/jessfraz/dockerfiles,12400
navi,denisidoro,http://github.com/denisidoro/navi,10400
TabNine,codota,http://github.com/codota/TabNine,9000
m-cli,rgcr,http://github.com/rgcr/m-cli,8800
Bash-Snippets,alexanderepstein,http://github.com/alexanderepstein/Bash-Snippets,8600
direnv,direnv,http://github.com/direnv/direnv,8500
mal,kanaka,http://github.com/kanaka/mal,8500
awesome-cheatsheets,skywind3000,http://github.com/skywind3000/awesome-cheatsheets,8200
PEASS-ng,carlospolop,http://github.com/carlospolop/PEASS-ng,8000
openvpn-install,angristan,http://github.com/angristan/openvpn-install,7600
