repo_name,username,repo_url,stars
bitcoin,bitcoin,http://github.com/bitcoin/bitcoin,62400
ccxt,ccxt,http://github.com/ccxt/ccxt,23600
ZeroNet,HelloZeroNet,http://github.com/HelloZeroNet/ZeroNet,17400
freqtrade,freqtrade,http://github.com/freqtrade/freqtrade,16600
gekko,askmike,http://github.com/askmike/gekko,9900
abu,bbfamily,http://github.com/bbfamily/abu,8800
solana,solana-labs,http://github.com/solana-labs/solana,7600
lbry-sdk,lbryio,http://github.com/lbryio/lbry-sdk,7100
blockchain,dvf,http://github.com/dvf/blockchain,6700
blockchain_guide,yeasy,http://github.com/yeasy/blockchain_guide,6000
lnd,lightningnetwork,http://github.com/lightningnetwork/lnd,5900
electrum,spesmilo,http://github.com/spesmilo/electrum,5500
blackbird,butor,http://github.com/butor/blackbird,5500
btcd,btcsuite,http://github.com/btcsuite/btcd,4700
bitcoinjs-lib,bitcoinjs,http://github.com/bitcoinjs/bitcoinjs-lib,4500
bitcoinj,bitcoinj,http://github.com/bitcoinj/bitcoinj,4200
bisq,bisq-network,http://github.com/bisq-network/bisq,3900
Crypto-Signal,CryptoSignal,http://github.com/CryptoSignal/Crypto-Signal,3900
tribeca,michaelgrosner,http://github.com/michaelgrosner/tribeca,3700
jesse,jesse-ai,http://github.com/jesse-ai/jesse,3700
CryptoList,coinpride,http://github.com/coinpride/CryptoList,3700
EthList,Scanate,http://github.com/Scanate/EthList,3600
alpha_vantage,RomelTorres,http://github.com/RomelTorres/alpha_vantage,3600
awesome-coins,Zheaoli,http://github.com/Zheaoli/awesome-coins,3500
wallet,bitpay,http://github.com/bitpay/wallet,3400
btcpayserver,btcpayserver,http://github.com/btcpayserver/btcpayserver,3400
blockchain_go,Jeiwan,http://github.com/Jeiwan/blockchain_go,3300
squeezer,SqueezerIO,http://github.com/SqueezerIO/squeezer,3300
cointop,cointop-sh,http://github.com/cointop-sh/cointop,3100
bitcoin-wallet,bitcoin-wallet,http://github.com/bitcoin-wallet/bitcoin-wallet,2800
