repo_name,username,repo_url,stars
ccxt,ccxt,http://github.com/ccxt/ccxt,23600
discord.js,discordjs,http://github.com/discordjs/discord.js,18300
python-telegram-bot,python-telegram-bot,http://github.com/python-telegram-bot/python-telegram-bot,17900
hubot,hubotio,http://github.com/hubotio/hubot,16100
InstaPy,InstaPy,http://github.com/InstaPy/InstaPy,14000
rasa,RasaHQ,http://github.com/RasaHQ/rasa,13700
wechaty,wechaty,http://github.com/wechaty/wechaty,12300
ChatterBot,gunthercox,http://github.com/gunthercox/ChatterBot,12100
botkit,howdyai,http://github.com/howdyai/botkit,10700
botpress,botpress,http://github.com/botpress/botpress,9600
YYeTsBot,tgbot-collection,http://github.com/tgbot-collection/YYeTsBot,8800
EverydayWechat,sfyc23,http://github.com/sfyc23/EverydayWechat,8800
leon,leon-ai,http://github.com/leon-ai/leon,8600
ailab,microsoft,http://github.com/microsoft/ailab,7000
EZFN-Lobbybot,EZFNDEV,http://github.com/EZFNDEV/EZFN-Lobbybot,6900
botframework-sdk,microsoft,http://github.com/microsoft/botframework-sdk,6700
trump2cash,maxbbraun,http://github.com/maxbbraun/trump2cash,6100
node-telegram-bot-api,yagop,http://github.com/yagop/node-telegram-bot-api,6000
DeepPavlov,deepmipt,http://github.com/deepmipt/DeepPavlov,5600
botman,botman,http://github.com/botman/botman,5600
telegraf,telegraf,http://github.com/telegraf/telegraf,5400
whatsapp-web.js,pedroslopez,http://github.com/pedroslopez/whatsapp-web.js,5200
nlp.js,axa-group,http://github.com/axa-group/nlp.js,4800
streetmerchant,jef,http://github.com/jef/streetmerchant,4800
go-cqhttp,Mrs4s,http://github.com/Mrs4s/go-cqhttp,4200
igbot,ohld,http://github.com/ohld/igbot,4100
bottender,Yoctol,http://github.com/Yoctol/bottender,3900
PokemonGo-Bot,PokemonGoF,http://github.com/PokemonGoF/PokemonGo-Bot,3700
binance-trading-bot,chrisleekr,http://github.com/chrisleekr/binance-trading-bot,3700
venom,orkestral,http://github.com/orkestral/venom,3700
