repo_name,username,repo_url,stars
CS-Notes,CyC2018,http://github.com/CyC2018/CS-Notes,148000
project-based-learning,practical-tutorials,http://github.com/practical-tutorials/project-based-learning,64099
leetcode,azl397985856,http://github.com/azl397985856/leetcode,47000
x64dbg,x64dbg,http://github.com/x64dbg/x64dbg,38200
awesome-cpp,fffaraz,http://github.com/fffaraz/awesome-cpp,36200
leetcode-master,youngyangyang04,http://github.com/youngyangyang04/leetcode-master,24200
calculator,microsoft,http://github.com/microsoft/calculator,23900
openpose,CMU-Perceptual-Computing-Lab,http://github.com/CMU-Perceptual-Computing-Lab/openpose,23500
interview,huihut,http://github.com/huihut/interview,23000
yuzu,yuzu-emu,http://github.com/yuzu-emu/yuzu,19400
C-Plus-Plus,TheAlgorithms,http://github.com/TheAlgorithms/C-Plus-Plus,18500
modern-cpp-tutorial,changkun,http://github.com/changkun/modern-cpp-tutorial,16800
solidity,ethereum,http://github.com/ethereum/solidity,15300
vcpkg,microsoft,http://github.com/microsoft/vcpkg,15100
Catch2,catchorg,http://github.com/catchorg/Catch2,14600
spdlog,gabime,http://github.com/gabime/spdlog,14000
modern-cpp-features,AnthonyCalandra,http://github.com/AnthonyCalandra/modern-cpp-features,13700
Qv2ray,Qv2ray,http://github.com/Qv2ray/Qv2ray,13300
leetcode,doocs,http://github.com/doocs/leetcode,13100
infer,facebook,http://github.com/facebook/infer,13100
Sourcetrail,CoatiSoftware,http://github.com/CoatiSoftware/Sourcetrail,12500
tinyrenderer,ssloy,http://github.com/ssloy/tinyrenderer,12200
tink,google,http://github.com/google/tink,12200
antlr4,antlr,http://github.com/antlr/antlr4,11700
BackgroundMusic,kyleneideck,http://github.com/kyleneideck/BackgroundMusic,11100
openage,SFTtech,http://github.com/SFTtech/openage,10900
compiler-explorer,compiler-explorer,http://github.com/compiler-explorer/compiler-explorer,10300
OpenRCT2,OpenRCT2,http://github.com/OpenRCT2/OpenRCT2,10300
Ciphey,Ciphey,http://github.com/Ciphey/Ciphey,9500
milewski-ctfp-pdf,hmemcpy,http://github.com/hmemcpy/milewski-ctfp-pdf,9300
