repo_name,username,repo_url,stars
scrcpy,Genymobile,http://github.com/Genymobile/scrcpy,62400
neovim,neovim,http://github.com/neovim/neovim,51500
git,git,http://github.com/git/git,41300
obs-studio,obsproject,http://github.com/obsproject/obs-studio,36800
awesome-cpp,fffaraz,http://github.com/fffaraz/awesome-cpp,36200
open-source-mac-os-apps,serhii-londar,http://github.com/serhii-londar/open-source-mac-os-apps,29700
FFmpeg,FFmpeg,http://github.com/FFmpeg/FFmpeg,28600
vim,vim,http://github.com/vim/vim,26400
curl,curl,http://github.com/curl/curl,23900
the_silver_searcher,ggreer,http://github.com/ggreer/the_silver_searcher,23400
interview,huihut,http://github.com/huihut/interview,23000
ruby,ruby,http://github.com/ruby/ruby,18900
mpv,mpv-player,http://github.com/mpv-player/mpv,18000
rufus,pbatard,http://github.com/pbatard/rufus,17700
flatbuffers,google,http://github.com/google/flatbuffers,17600
srs,ossrs,http://github.com/ossrs/srs,17400
graal,oracle,http://github.com/oracle/graal,16700
radare2,radareorg,http://github.com/radareorg/radare2,15900
vcpkg,microsoft,http://github.com/microsoft/vcpkg,15100
shadowsocks-libev,shadowsocks,http://github.com/shadowsocks/shadowsocks-libev,14800
goaccess,allinurl,http://github.com/allinurl/goaccess,14400
kitty,kovidgoyal,http://github.com/kovidgoyal/kitty,14000
nnn,jarun,http://github.com/jarun/nnn,13600
nuklear,vurtun,http://github.com/vurtun/nuklear,13400
infer,facebook,http://github.com/facebook/infer,13100
C,TheAlgorithms,http://github.com/TheAlgorithms/C,12600
Sourcetrail,CoatiSoftware,http://github.com/CoatiSoftware/Sourcetrail,12500
hashcat,hashcat,http://github.com/hashcat/hashcat,11900
qmk_firmware,qmk,http://github.com/qmk/qmk_firmware,11800
raspberry-pi-os,s-matyukevich,http://github.com/s-matyukevich/raspberry-pi-os,11200
