repo_name,username,repo_url,stars
COVID-19,CSSEGISandData,http://github.com/CSSEGISandData/COVID-19,28400
covid19india-react,covid19india,http://github.com/covid19india/covid19india-react,6900
covid-19-data,nytimes,http://github.com/nytimes/covid-19-data,6800
covid19,tokyo-metropolitan-gov,http://github.com/tokyo-metropolitan-gov/covid19,6300
covid-19-data,owid,http://github.com/owid/covid-19-data,5100
COVID-19,pcm-dpc,http://github.com/pcm-dpc/COVID-19,3900
covid-chestxray-dataset,ieee8023,http://github.com/ieee8023/covid-chestxray-dataset,2800
API,disease-sh,http://github.com/disease-sh/API,2400
corona,geohot,http://github.com/geohot/corona,2200
app,WorldHealthOrganization,http://github.com/WorldHealthOrganization/app,2100
corona-cli,ahmadawais,http://github.com/ahmadawais/corona-cli,1800
cwa-server,corona-warn-app,http://github.com/corona-warn-app/cwa-server,1800
coronavirus-tracker-api,ExpDev07,http://github.com/ExpDev07/coronavirus-tracker-api,1600
covid19-dashboard,github,http://github.com/github/covid19-dashboard,1500
awesome-coronavirus,soroushchehresa,http://github.com/soroushchehresa/awesome-coronavirus,1500
CoronaTracker,mhdhejazi,http://github.com/mhdhejazi/CoronaTracker,1500
covid19_scenarios,neherlab,http://github.com/neherlab/covid19_scenarios,1400
covidpass,covidpass-org,http://github.com/covidpass-org/covidpass,1200
covid19,pomber,http://github.com/pomber/covid19,1200
Face-Mask-Detection,chandrikadeb7,http://github.com/chandrikadeb7/Face-Mask-Detection,1200
tika-python,chrismattmann,http://github.com/chrismattmann/tika-python,1100
covid-19,datasets,http://github.com/datasets/covid-19,1100
coronavirus,FoldingAtHome,http://github.com/FoldingAtHome/coronavirus,1100
COVID-Net,lindawangg,http://github.com/lindawangg/COVID-Net,1100
ESP32-Paxcounter,cyberman54,http://github.com/cyberman54/ESP32-Paxcounter,989
covid19model,ImperialCollegeLondon,http://github.com/ImperialCollegeLondon/covid19model,944
COVID-CT,UCSD-AI4H,http://github.com/UCSD-AI4H/COVID-CT,939
covid19-public,MoH-Malaysia,http://github.com/MoH-Malaysia/covid19-public,917
coronavirus-data,nychealth,http://github.com/nychealth/coronavirus-data,910
china-dictatorship,cirosantilli,http://github.com/cirosantilli/china-dictatorship,784
