repo_name,username,repo_url,stars
electron,electron,http://github.com/electron/electron,101000
playwright,microsoft,http://github.com/microsoft/playwright,35200
mkcert,FiloSottile,http://github.com/FiloSottile/mkcert,34100
bypass-paywalls-chrome,iamadamdev,http://github.com/iamadamdev/bypass-paywalls-chrome,23800
octotree,ovity,http://github.com/ovity/octotree,21900
nightmare,segmentio,http://github.com/segmentio/nightmare,19100
linux-command,jaywcjlove,http://github.com/jaywcjlove/linux-command,18100
headless-recorder,checkly,http://github.com/checkly/headless-recorder,14000
chromeless,prisma-archive,http://github.com/prisma-archive/chromeless,13200
WebFundamentals,google,http://github.com/google/WebFundamentals,12800
react-color,casesandberg,http://github.com/casesandberg/react-color,10500
chrome-extensions-samples,GoogleChrome,http://github.com/GoogleChrome/chrome-extensions-samples,9600
ext-saladict,crimx,http://github.com/crimx/ext-saladict,8800
uBlock,uBlock-LLC,http://github.com/uBlock-LLC/uBlock,8100
SingleFile,gildas-lormeau,http://github.com/gildas-lormeau/SingleFile,7600
metamask-extension,MetaMask,http://github.com/MetaMask/metamask-extension,7500
chromedp,chromedp,http://github.com/chromedp/chromedp,7300
url-to-pdf-api,alvarcarto,http://github.com/alvarcarto/url-to-pdf-api,6600
InfoSpider,kangvcar,http://github.com/kangvcar/InfoSpider,6100
simpread,Kenshin,http://github.com/Kenshin/simpread,5600
headless-chrome-crawler,yujiosaka,http://github.com/yujiosaka/headless-chrome-crawler,5200
ferret,MontFerret,http://github.com/MontFerret/ferret,4900
debugger,firefox-devtools,http://github.com/firefox-devtools/debugger,4600
themer,themerdev,http://github.com/themerdev/themer,4600
polar-bookshelf,burtonator,http://github.com/burtonator/polar-bookshelf,4400
fetool,nieweidong,http://github.com/nieweidong/fetool,4300
HackBrowserData,moonD4rk,http://github.com/moonD4rk/HackBrowserData,4300
SponsorBlock,ajayyy,http://github.com/ajayyy/SponsorBlock,4200
chrome,browserless,http://github.com/browserless/chrome,4200
omni,alyssaxuu,http://github.com/alyssaxuu/omni,4000
