repo_name,username,repo_url,stars
metabase,metabase,http://github.com/metabase/metabase,27800
deeplearning4j,eclipse,http://github.com/eclipse/deeplearning4j,12400
LightTable,LightTable,http://github.com/LightTable/LightTable,11700
logseq,logseq,http://github.com/logseq/logseq,11600
penpot,penpot,http://github.com/penpot/penpot,9100
mal,kanaka,http://github.com/kanaka/mal,8500
awesomo,lk-geimfari,http://github.com/lk-geimfari/awesomo,8300
datascript,tonsky,http://github.com/tonsky/datascript,4600
reagent,reagent-project,http://github.com/reagent-project/reagent,4400
riemann,riemann,http://github.com/riemann/riemann,4100
compojure,weavejester,http://github.com/weavejester/compojure,3900
clojure-style-guide,bbatsov,http://github.com/bbatsov/clojure-style-guide,3800
intellij-rainbow-brackets,izhangzhihao,http://github.com/izhangzhihao/intellij-rainbow-brackets,3700
ring,ring-clojure,http://github.com/ring-clojure/ring,3400
status-react,status-im,http://github.com/status-im/status-react,3400
cider,clojure-emacs,http://github.com/clojure-emacs/cider,3300
klipse,viebel,http://github.com/viebel/klipse,2900
lein-figwheel,bhauman,http://github.com/bhauman/lein-figwheel,2900
Rich-Hickey-fanclub,tallesl,http://github.com/tallesl/Rich-Hickey-fanclub,2800
babashka,babashka,http://github.com/babashka/babashka,2600
beakerx,twosigma,http://github.com/twosigma/beakerx,2600
pedestal,pedestal,http://github.com/pedestal/pedestal,2500
aleph,clj-commons,http://github.com/clj-commons/aleph,2400
hiccup,weavejester,http://github.com/weavejester/hiccup,2400
awesome-clojure,razum2um,http://github.com/razum2um/awesome-clojure,2300
http-kit,http-kit,http://github.com/http-kit/http-kit,2300
defold,defold,http://github.com/defold/defold,2100
onyx,onyx-platform,http://github.com/onyx-platform/onyx,2000
lumo,anmonteiro,http://github.com/anmonteiro/lumo,1900
xtdb,xtdb,http://github.com/xtdb/xtdb,1800
