repo_name,username,repo_url,stars
SwiftLint,realm,http://github.com/realm/SwiftLint,15800
infer,facebook,http://github.com/facebook/infer,13100
static-analysis,analysis-tools-dev,http://github.com/analysis-tools-dev/static-analysis,9700
checkstyle,checkstyle,http://github.com/checkstyle/checkstyle,6800
sonarqube,SonarSource,http://github.com/SonarSource/sonarqube,6600
awesome-guidelines,Kristories,http://github.com/Kristories/awesome-guidelines,6500
pyre-check,facebook,http://github.com/facebook/pyre-check,5800
reviewdog,reviewdog,http://github.com/reviewdog/reviewdog,4800
simplecov,simplecov-ruby,http://github.com/simplecov-ruby/simplecov,4400
detekt,detekt,http://github.com/detekt/detekt,4400
eslint-plugin-import,import-js,http://github.com/import-js/eslint-plugin-import,3900
pylint,PyCQA,http://github.com/PyCQA/pylint,3800
pmd,pmd,http://github.com/pmd/pmd,3800
grumphp,phpro,http://github.com/phpro/grumphp,3700
HTMLHint,htmlhint,http://github.com/htmlhint/HTMLHint,2800
jscpd,kucherenko,http://github.com/kucherenko/jscpd,2500
codeclimate,codeclimate,http://github.com/codeclimate/codeclimate,2300
state-of-the-art-shitcode,trekhleb,http://github.com/trekhleb/state-of-the-art-shitcode,2300
piranha,uber,http://github.com/uber/piranha,1900
wemake-python-styleguide,wemake-services,http://github.com/wemake-services/wemake-python-styleguide,1800
cross-platform-node-guide,ehmicky,http://github.com/ehmicky/cross-platform-node-guide,1200
feflow,Tencent,http://github.com/Tencent/feflow,1100
typewiz,urish,http://github.com/urish/typewiz,1100
CodeAnalysis,Tencent,http://github.com/Tencent/CodeAnalysis,1000
phpqa,jakzal,http://github.com/jakzal/phpqa,997
unused,joshuaclayton,http://github.com/joshuaclayton/unused,875
Imgbot,imgbot,http://github.com/imgbot/Imgbot,874
SonarJS,SonarSource,http://github.com/SonarSource/SonarJS,791
pdepend,pdepend,http://github.com/pdepend/pdepend,785
SonarTS,SonarSource,http://github.com/SonarSource/SonarTS,767
