repo_name,username,repo_url,stars
octotree,ovity,http://github.com/ovity/octotree,21900
gitpod,gitpod-io,http://github.com/gitpod-io/gitpod,7400
reviewdog,reviewdog,http://github.com/reviewdog/reviewdog,4800
danger,danger,http://github.com/danger/danger,4800
danger-js,danger,http://github.com/danger/danger-js,4200
awesome-code-review,joho,http://github.com/joho/awesome-code-review,3300
nodejsscan,ajinabraham,http://github.com/ajinabraham/nodejsscan,1900
hound,houndci,http://github.com/houndci/hound,1900
mutant,mbj,http://github.com/mbj/mutant,1800
vscode-pull-request-github,microsoft,http://github.com/microsoft/vscode-pull-request-github,1800
cargo-crev,crev-dev,http://github.com/crev-dev/cargo-crev,1500
reviewboard,reviewboard,http://github.com/reviewboard/reviewboard,1400
code-review-tips,ryanmcdermott,http://github.com/ryanmcdermott/code-review-tips,1100
python_sec,bit4woo,http://github.com/bit4woo/python_sec,1100
java-concurrency,code-review-checklists,http://github.com/code-review-checklists/java-concurrency,1000
CodeAnalysis,Tencent,http://github.com/Tencent/CodeAnalysis,1000
Audit-Learning,jiangsir404,http://github.com/jiangsir404/Audit-Learning,828
codestream,TeamCodeStream,http://github.com/TeamCodeStream/codestream,753
enlightn,enlightn,http://github.com/enlightn/enlightn,629
policy-bot,palantir,http://github.com/palantir/policy-bot,462
cpp-project,bsamseth,http://github.com/bsamseth/cpp-project,452
gerrit-intellij-plugin,uwolfer,http://github.com/uwolfer/gerrit-intellij-plugin,433
diffr,mookid,http://github.com/mookid/diffr,415
code-review-checklist,mgreiler,http://github.com/mgreiler/code-review-checklist,401
Qodana,JetBrains,http://github.com/JetBrains/Qodana,347
raptor,dpnishant,http://github.com/dpnishant/raptor,329
static-review,sjparkinson,http://github.com/sjparkinson/static-review,325
code-review,wandersoncferreira,http://github.com/wandersoncferreira/code-review,296
shiba,burrito-brothers,http://github.com/burrito-brothers/shiba,289
github-review,charignon,http://github.com/charignon/github-review,277
