repo_name,username,repo_url,stars
ohmyzsh,ohmyzsh,http://github.com/ohmyzsh/ohmyzsh,142000
fzf,junegunn,http://github.com/junegunn/fzf,42600
bat,sharkdp,http://github.com/sharkdp/bat,32900
dive,wagoodman,http://github.com/wagoodman/dive,30400
sherlock,sherlock-project,http://github.com/sherlock-project/sherlock,29900
ripgrep,BurntSushi,http://github.com/BurntSushi/ripgrep,29800
zx,google,http://github.com/google/zx,29600
cheat.sh,chubin,http://github.com/chubin/cheat.sh,28400
cli,cli,http://github.com/cli/cli,27500
lazygit,jesseduffield,http://github.com/jesseduffield/lazygit,26200
cobra,spf13,http://github.com/spf13/cobra,25600
angular-cli,angular,http://github.com/angular/angular-cli,25300
awesome-shell,alebcay,http://github.com/alebcay/awesome-shell,23100
python-fire,google,http://github.com/google/python-fire,22000
tqdm,tqdm,http://github.com/tqdm/tqdm,21400
n8n,n8n-io,http://github.com/n8n-io/n8n,21400
fd,sharkdp,http://github.com/sharkdp/fd,20900
modern-unix,ibraheemdev,http://github.com/ibraheemdev/modern-unix,20900
pkg,vercel,http://github.com/vercel/pkg,19900
ava,avajs,http://github.com/avajs/ava,19600
chalk,chalk,http://github.com/chalk/chalk,18200
ink,vadimdemedes,http://github.com/vadimdemedes/ink,18000
cli,urfave,http://github.com/urfave/cli,17500
svgo,svg,http://github.com/svg/svgo,17400
.tmux,gpakosz,http://github.com/gpakosz/.tmux,16100
goaccess,allinurl,http://github.com/allinurl/goaccess,14400
webpack-dashboard,FormidableLabs,http://github.com/FormidableLabs/webpack-dashboard,13900
nnn,jarun,http://github.com/jarun/nnn,13600
ignite,infinitered,http://github.com/infinitered/ignite,13600
asdf,asdf-vm,http://github.com/asdf-vm/asdf,13400
