repo_name,username,repo_url,stars
next.js,vercel,http://github.com/vercel/next.js,83000
rust,rust-lang,http://github.com/rust-lang/rust,64300
webpack,webpack,http://github.com/webpack/webpack,60600
svelte,sveltejs,http://github.com/sveltejs/svelte,56600
gatsby,gatsbyjs,http://github.com/gatsbyjs/gatsby,52500
kotlin,JetBrains,http://github.com/JetBrains/kotlin,40600
babel,babel,http://github.com/babel/babel,40500
parcel,parcel-bundler,http://github.com/parcel-bundler/parcel,40400
esbuild,evanw,http://github.com/evanw/esbuild,30900
v,vlang,http://github.com/vlang/v,27200
marked,markedjs,http://github.com/markedjs/marked,27100
swc,swc-project,http://github.com/swc-project/swc,21000
pkg,vercel,http://github.com/vercel/pkg,19900
v8,v8,http://github.com/v8/v8,19200
assemblyscript,AssemblyScript,http://github.com/AssemblyScript/assemblyscript,13600
zig,ziglang,http://github.com/ziglang/zig,12800
bytecode-viewer,Konloch,http://github.com/Konloch/bytecode-viewer,12800
Nim,nim-lang,http://github.com/nim-lang/Nim,12600
gopherjs,gopherjs,http://github.com/gopherjs/gopherjs,10900
RustPython,RustPython,http://github.com/RustPython/RustPython,10700
compiler-explorer,compiler-explorer,http://github.com/compiler-explorer/compiler-explorer,10300
gop,goplus,http://github.com/goplus/gop,8000
tvm,apache,http://github.com/apache/tvm,7800
numba,numba,http://github.com/numba/numba,7300
kotlin-native,JetBrains,http://github.com/JetBrains/kotlin-native,7100
compiler,elm,http://github.com/elm/compiler,6800
awesome-compilers,aalhour,http://github.com/aalhour/awesome-compilers,6600
Nuitka,Nuitka,http://github.com/Nuitka/Nuitka,6500
acwj,DoctorWkt,http://github.com/DoctorWkt/acwj,6200
rescript-compiler,rescript-lang,http://github.com/rescript-lang/rescript-compiler,5700
