repo_name,username,repo_url,stars
localstack,localstack,http://github.com/localstack/localstack,39000
drone,harness,http://github.com/harness/drone,24600
jenkins,jenkinsci,http://github.com/jenkinsci/jenkins,18600
volkswagen,auchenberg,http://github.com/auchenberg/volkswagen,12300
origin,openshift,http://github.com/openshift/origin,8100
onedev,theonedev,http://github.com/theonedev/onedev,6900
gocd,gocd,http://github.com/gocd/gocd,6400
concourse,concourse,http://github.com/concourse/concourse,6200
buildbot,buildbot,http://github.com/buildbot/buildbot,4800
gaia,gaia-pipeline,http://github.com/gaia-pipeline/gaia,4600
strider,Strider-CD,http://github.com/Strider-CD/strider,4600
jx,jenkins-x,http://github.com/jenkins-x/jx,4100
cds,ovh,http://github.com/ovh/cds,3800
xcpretty,xcpretty,http://github.com/xcpretty/xcpretty,3700
hygieia,hygieia,http://github.com/hygieia/hygieia,3700
cake,cake-build,http://github.com/cake-build/cake,3200
werf,werf,http://github.com/werf/werf,3000
cml,iterative,http://github.com/iterative/cml,3000
awesome-ci,ligurio,http://github.com/ligurio/awesome-ci,2800
github-pages-deploy-action,JamesIves,http://github.com/JamesIves/github-pages-deploy-action,2700
tox,tox-dev,http://github.com/tox-dev/tox,2600
ModernCppStarter,TheLartians,http://github.com/TheLartians/ModernCppStarter,2500
PHPCI,dancryer,http://github.com/dancryer/PHPCI,2400
syncd,dreamans,http://github.com/dreamans/syncd,2100
setup-php,shivammathur,http://github.com/shivammathur/setup-php,2000
hound,houndci,http://github.com/houndci/hound,1900
fabric8,fabric8io,http://github.com/fabric8io/fabric8,1800
lastbackend,lastbackend,http://github.com/lastbackend/lastbackend,1600
flagsmith,Flagsmith,http://github.com/Flagsmith/flagsmith,1500
nuke,nuke-build,http://github.com/nuke-build/nuke,1400
